Initial Optimized Composition,Rounded Optimized Composition,Rounded Optimized Tc,Initial Optimized Tc,Rounded Optimized Ef,Initial Optimized Ef,structure_atom_count
B_{9.012345} C_{12.99869} Ca_{17.99894} Cu_{27.99235} Ba_{11.99766} ,B_{9.0} C_{13.0} Ca_{18.0} Cu_{28.0} Ba_{12.0} ,112.93732,112.94065,-0.71145177,-0.71136147,80.0
C_{13.98553} Ca_{30.96822} Cu_{30.99807} Ge_{48.00569} Ba_{22.02609} Pt_{31.01637} ,C_{14.0} Ca_{31.0} Cu_{31.0} Ge_{48.0} Ba_{22.0} Pt_{31.0} ,111.31717,111.329025,-1.041105,-1.0415622,177.0
B_{26.00916} C_{21.00924} Ca_{37.96565} Co_{64.97307} Ba_{25.01340} Au_{9.029454} ,B_{26.0} C_{21.0} Ca_{38.0} Co_{65.0} Ba_{25.0} Au_{9.0} ,110.01186,110.02255,-0.4886883,-0.48883715,184.0
B_{38.03030} Ca_{48.05936} Cu_{64.00416} Ba_{34.90617} ,B_{38.0} Ca_{48.0} Cu_{64.0} Ba_{35.0} ,109.61909,109.66033,-0.5709283,-0.5705935,185.0
C_{45.02517} Ca_{15.0239} Ni_{7.976261} Zn_{8.995388} Ga_{22.01095} Ba_{14.96832} ,C_{45.0} Ca_{15.0} Ni_{8.0} Zn_{9.0} Ga_{22.0} Ba_{15.0} ,107.88456,107.9129,-0.8817222,-0.8804484,114.0
Ca_{36.08212} Ni_{41.75095} Nb_{16.98918} Ag_{16.93148} Ba_{26.01952} Au_{33.22674} ,Ca_{36.0} Ni_{42.0} Nb_{17.0} Ag_{17.0} Ba_{26.0} Au_{33.0} ,103.5237,103.647675,0.04027637,0.04163242,171.0
C_{24.00574} Ca_{24.95239} Ni_{16.99506} Cu_{50.01082} Nb_{26.02312} Ba_{26.98492} Pt_{7.027918} ,C_{24.0} Ca_{25.0} Ni_{17.0} Cu_{50.0} Nb_{26.0} Ba_{27.0} Pt_{7.0} ,103.13303,103.16101,-0.6399673,-0.6394633,176.0
N_{38.00561} P_{31.00225} Ca_{22.06198} Ni_{23.00237} Br_{38.00658} Ba_{21.92117} ,N_{38.0} P_{31.0} Ca_{22.0} Ni_{23.0} Br_{38.0} Ba_{22.0} ,103.05841,103.13673,-2.3402638,-2.33998,174.0
Ca_{28.91657} Cu_{28.02085} Sr_{20.10889} Rh_{19.04403} Ag_{13.88474} Pt_{21.0249} ,Ca_{29.0} Cu_{28.0} Sr_{20.0} Rh_{19.0} Ag_{14.0} Pt_{21.0} ,102.96195,103.08981,0.3083895,0.30875885,131.0
B_{42.84475} C_{22.10138} Ca_{38.99478} Cu_{50.00555} Sr_{26.05354} ,B_{43.0} C_{22.0} Ca_{39.0} Cu_{50.0} Sr_{26.0} ,102.7323,102.77619,-0.41433546,-0.41535747,180.0
C_{45.97688} N_{40.99694} P_{19.01953} Ca_{26.99844} Ba_{23.03421} Pt_{18.97397} ,C_{46.0} N_{41.0} P_{19.0} Ca_{27.0} Ba_{23.0} Pt_{19.0} ,102.250595,102.26553,-1.6136888,-1.6157463,175.0
C_{3.044936} Ca_{54.86925} Cu_{58.03890} In_{10.96575} Ba_{29.03526} Pt_{20.04587} ,C_{3.0} Ca_{55.0} Cu_{58.0} In_{11.0} Ba_{29.0} Pt_{20.0} ,101.85427,101.95096,0.0038947668,0.0036524348,176.0
N_{44.95106} Mg_{3.03601} Ca_{23.99845} Ba_{21.96047} Pt_{57.05399} ,N_{45.0} Mg_{3.0} Ca_{24.0} Ba_{22.0} Pt_{57.0} ,100.13248,100.1806,-1.609821,-1.6079475,151.0
N_{53.00861} Ca_{31.91417} Ba_{30.00864} Pt_{75.06858} ,N_{53.0} Ca_{32.0} Ba_{30.0} Pt_{75.0} ,100.08373,100.12092,-1.5692154,-1.5689106,190.0
B_{11.00813} O_{11.02129} Ca_{17.03953} Ge_{15.97212} Cd_{9.941352} Ba_{9.117053} Pt_{15.90050} ,B_{11.0} O_{11.0} Ca_{17.0} Ge_{16.0} Cd_{10.0} Ba_{9.0} Pt_{16.0} ,99.86381,99.83969,-1.3806477,-1.3913385,90.0
C_{87.96581} Ca_{33.02566} Ba_{19.95535} At_{50.05317} ,C_{88.0} Ca_{33.0} Ba_{20.0} At_{50.0} ,98.339195,98.33361,-1.2725593,-1.2721375,191.0
C_{65.96899} N_{26.01792} Ca_{11.01072} Ni_{25.00572} Sr_{22.99151} Cs_{18.98723} Au_{15.01788} ,C_{66.0} N_{26.0} Ca_{11.0} Ni_{25.0} Sr_{23.0} Cs_{19.0} Au_{15.0} ,97.78947,97.79486,-1.1339366,-1.1338078,185.0
B_{9.011498} N_{21.89581} Cu_{43.07492} Sr_{21.03452} Te_{31.95480} Ba_{8.019898} Pt_{2.008548} ,B_{9.0} N_{22.0} Cu_{43.0} Sr_{21.0} Te_{32.0} Ba_{8.0} Pt_{2.0} ,96.886284,96.97806,-0.27498522,-0.2708199,137.0
C_{13.13866} O_{51.96779} Cu_{51.92183} Cs_{17.89448} Ba_{38.99775} Pt_{13.06850} Tl_{5.010986} ,C_{13.0} O_{52.0} Cu_{52.0} Cs_{18.0} Ba_{39.0} Pt_{13.0} Tl_{5.0} ,96.59585,96.6088,-2.1458006,-2.1452417,192.0
N_{58.03612} Fe_{67.21517} Ba_{10.78052} La_{13.97576} Eu_{15.99241} ,N_{58.0} Fe_{67.0} Ba_{11.0} La_{14.0} Eu_{16.0} ,97.08794,96.59962,-1.9059668,-1.9024844,166.0
B_{25.07794} Cu_{42.0083} Y_{30.99132} Ba_{36.95334} Dy_{10.88061} Pt_{37.95447} Au_{9.134021} ,B_{25.0} Cu_{42.0} Y_{31.0} Ba_{37.0} Dy_{11.0} Pt_{38.0} Au_{9.0} ,96.135895,96.25473,0.055963114,0.057511196,193.0
Mg_{17.00181} Ca_{26.90906} Cu_{44.00011} Rb_{20.00624} La_{10.10103} Tm_{12.88149} Pt_{10.10024} ,Mg_{17.0} Ca_{27.0} Cu_{44.0} Rb_{20.0} La_{10.0} Tm_{13.0} Pt_{10.0} ,96.04107,96.15341,-0.13092422,-0.13000818,141.0
C_{25.96898} O_{23.97152} Ca_{23.98167} Ba_{14.10888} Pt_{28.96893} ,C_{26.0} O_{24.0} Ca_{24.0} Ba_{14.0} Pt_{29.0} ,95.25603,95.26516,-1.656783,-1.6586448,117.0
O_{99.05308} Cu_{45.03628} Ba_{51.91064} ,O_{99.0} Cu_{45.0} Ba_{52.0} ,95.1885,95.18511,-2.814127,-2.8142853,196.0
O_{32.96776} Cu_{42.94523} Sr_{33.98919} Bi_{24.09780} ,O_{33.0} Cu_{43.0} Sr_{34.0} Bi_{24.0} ,95.11371,95.10717,-1.3708977,-1.3708978,134.0
C_{68.10008} K_{3.00179} Ca_{26.03531} As_{24.93721} In_{22.98008} Ba_{25.99391} Tl_{19.95160} ,C_{68.0} K_{3.0} Ca_{26.0} As_{25.0} In_{23.0} Ba_{26.0} Tl_{20.0} ,94.5109,94.53213,-1.2406901,-1.2392853,191.0
O_{40.96135} Cu_{49.98134} Rb_{3.988117} Ba_{36.95760} Ce_{18.01919} Dy_{14.05502} Pt_{27.03736} ,O_{41.0} Cu_{50.0} Rb_{4.0} Ba_{37.0} Ce_{18.0} Dy_{14.0} Pt_{27.0} ,94.20217,94.24833,-1.9269937,-1.9264368,191.0
B_{18.98721} O_{41.00404} Cu_{45.04605} Ba_{29.02761} Eu_{8.935972} Pt_{27.99910} ,B_{19.0} O_{41.0} Cu_{45.0} Ba_{29.0} Eu_{9.0} Pt_{28.0} ,94.07873,94.12559,-1.7971818,-1.7963842,171.0
C_{19.99817} O_{30.97139} Co_{69.87023} Rb_{20.09270} Ba_{39.03969} La_{10.02779} ,C_{20.0} O_{31.0} Co_{70.0} Rb_{20.0} Ba_{39.0} La_{10.0} ,93.97232,93.98915,-1.363596,-1.3625768,190.0
O_{96.03487} Cu_{44.07077} Ba_{46.89435} ,O_{96.0} Cu_{44.0} Ba_{47.0} ,93.98491,93.79586,-2.818845,-2.8180785,187.0
O_{44.04436} Mg_{5.053994} Cu_{68.98785} Rb_{23.97577} Ba_{49.00414} Ce_{6.933866} ,O_{44.0} Mg_{5.0} Cu_{69.0} Rb_{24.0} Ba_{49.0} Ce_{7.0} ,93.71659,93.738464,-1.8826514,-1.883108,198.0
B_{29.01597} Cu_{40.97189} Ga_{19.99311} Y_{17.02362} Ba_{29.01164} Pt_{28.98374} ,B_{29.0} Cu_{41.0} Ga_{20.0} Y_{17.0} Ba_{29.0} Pt_{29.0} ,93.47334,93.488655,-0.5012623,-0.5016005,165.0
N_{31.00726} Ca_{26.04475} Pd_{17.01822} Ba_{25.99950} Yb_{15.98087} Pt_{60.94938} ,N_{31.0} Ca_{26.0} Pd_{17.0} Ba_{26.0} Yb_{16.0} Pt_{61.0} ,93.323235,93.355835,-1.0030717,-1.0037588,177.0
He_{42.96692} S_{19.03085} Cu_{62.97295} Rb_{8.995087} Ba_{27.05878} Ce_{13.92574} Au_{11.04965} ,He_{43.0} S_{19.0} Cu_{63.0} Rb_{9.0} Ba_{27.0} Ce_{14.0} Au_{11.0} ,93.19359,93.26829,-0.44756848,-0.44718504,186.0
