formula,atom_dict,valid_sample_bools,pred_Tc,pred_ef,Ef_bools,elecneg_bools,neutral_bools,all_True_bools
B9.0C13.0Ca18.0Cu28.0Ba12.0,"{'B': 9.0, 'Ba': 12.0, 'C': 13.0, 'Ca': 18.0, 'Cu': 28.0}",True,112.93402,-0.7114518,True,False,False,False
C14.0Ca31.0Cu31.0Ge48.0Ba22.0Pt31.0,"{'Ba': 22.0, 'C': 14.0, 'Ca': 31.0, 'Cu': 31.0, 'Ge': 48.0, 'Pt': 31.0}",True,111.30644,-1.0411049,True,False,False,False
B26.0C21.0Ca38.0Co65.0Ba25.0Au9.0,"{'Au': 9.0, 'B': 26.0, 'Ba': 25.0, 'C': 21.0, 'Ca': 38.0, 'Co': 65.0}",True,110.00338,-0.48868832,True,False,True,False
B38.0Ca48.0Cu64.0Ba35.0,"{'B': 38.0, 'Ba': 35.0, 'Ca': 48.0, 'Cu': 64.0}",True,109.610634,-0.5709283,True,False,False,False
C45.0Ca15.0Ni8.0Zn9.0Ga22.0Ba15.0,"{'Ba': 15.0, 'C': 45.0, 'Ca': 15.0, 'Ga': 22.0, 'Ni': 8.0, 'Zn': 9.0}",True,107.877,-0.8817223,True,True,True,True
Ca36.0Ni42.0Nb17.0Ag17.0Ba26.0Au33.0,"{'Ag': 17.0, 'Au': 33.0, 'Ba': 26.0, 'Ca': 36.0, 'Nb': 17.0, 'Ni': 42.0}",True,103.53097,0.04027641,False,True,True,False
C24.0Ca25.0Ni17.0Cu50.0Nb26.0Ba27.0Pt7.0,"{'Ba': 27.0, 'C': 24.0, 'Ca': 25.0, 'Cu': 50.0, 'Nb': 26.0, 'Ni': 17.0, 'Pt': 7.0}",True,103.12332,-0.6399674,True,False,True,False
N38.0P31.0Ca22.0Ni23.0Br38.0Ba22.0,"{'Ba': 22.0, 'Br': 38.0, 'Ca': 22.0, 'N': 38.0, 'Ni': 23.0, 'P': 31.0}",True,103.04461,-2.3402638,True,False,False,False
Ca29.0Cu28.0Sr20.0Rh19.0Ag14.0Pt21.0,"{'Ag': 14.0, 'Ca': 29.0, 'Cu': 28.0, 'Pt': 21.0, 'Rh': 19.0, 'Sr': 20.0}",True,102.9756,0.30838948,False,True,True,False
B43.0C22.0Ca39.0Cu50.0Sr26.0,"{'B': 43.0, 'C': 22.0, 'Ca': 39.0, 'Cu': 50.0, 'Sr': 26.0}",True,102.73996,-0.4143354,True,False,False,False
C46.0N41.0P19.0Ca27.0Ba23.0Pt19.0,"{'Ba': 23.0, 'C': 46.0, 'Ca': 27.0, 'N': 41.0, 'P': 19.0, 'Pt': 19.0}",True,102.26265,-1.6136885,True,True,True,True
C3.0Ca55.0Cu58.0In11.0Ba29.0Pt20.0,"{'Ba': 29.0, 'C': 3.0, 'Ca': 55.0, 'Cu': 58.0, 'In': 11.0, 'Pt': 20.0}",True,101.85994,0.003894765,False,False,False,False
N45.0Mg3.0Ca24.0Ba22.0Pt57.0,"{'Ba': 22.0, 'Ca': 24.0, 'Mg': 3.0, 'N': 45.0, 'Pt': 57.0}",True,100.106735,-1.6098207,True,False,False,False
N53.0Ca32.0Ba30.0Pt75.0,"{'Ba': 30.0, 'Ca': 32.0, 'N': 53.0, 'Pt': 75.0}",True,100.08226,-1.5692154,True,False,False,False
B11.0O11.0Ca17.0Ge16.0Cd10.0Ba9.0Pt16.0,"{'B': 11.0, 'Ba': 9.0, 'Ca': 17.0, 'Cd': 10.0, 'Ge': 16.0, 'O': 11.0, 'Pt': 16.0}",True,99.87157,-1.3806475,True,False,False,False
C88.0Ca33.0Ba20.0At50.0,"{'At': 50.0, 'Ba': 20.0, 'C': 88.0, 'Ca': 33.0}",True,98.34263,-1.2725592,True,False,False,False
C66.0N26.0Ca11.0Ni25.0Sr23.0Cs19.0Au15.0,"{'Au': 15.0, 'C': 66.0, 'Ca': 11.0, 'Cs': 19.0, 'N': 26.0, 'Ni': 25.0, 'Sr': 23.0}",True,97.78537,-1.1339366,True,True,True,True
